Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
1,Yakubu Aiyegbeni,ng NGA,FW,Portsmouth,21,1982,30,29,"2,467",27.4,13,3,16,9,4,4,2,0,0.47,0.11,0.58,0.33,0.44,Matches
2,Martin Albrechtsen,dk DEN,DF,West Brom,24,1980,24,20,"1,785",19.8,0,1,1,0,0,0,1,0,0,0.05,0.05,0,0.05,Matches
3,Jérémie Aliadière,fr FRA,"FW,MF",Arsenal,21,1983,4,0,37,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
4,Manuel Almunia,es ESP,GK,Arsenal,27,1977,10,10,900,10,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
5,Xabi Alonso,es ESP,MF,Liverpool,22,1981,24,20,"1,809",20.1,2,4,6,2,0,0,1,0,0.1,0.2,0.3,0.1,0.3,Matches
6,Darren Ambrose,eng ENG,"FW,MF",Newcastle Utd,20,1984,12,8,741,8.2,3,0,3,3,0,0,1,0,0.36,0,0.36,0.36,0.36,Matches
7,Shola Ameobi,ng NGA,FW,Newcastle Utd,22,1981,31,17,"1,674",18.6,2,1,3,2,0,0,3,1,0.11,0.05,0.16,0.11,0.16,Matches
8,Lorenzo Amoruso,it ITA,DF,Blackburn,33,1971,6,5,453,5,0,0,0,0,0,0,1,1,0,0,0,0,0,Matches
9,Stephan Andersen,dk DEN,GK,Charlton Ath,22,1981,2,2,180,2,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
10,Darren Anderton,eng ENG,MF,Birmingham City,32,1972,20,9,868,9.6,3,1,4,3,0,0,1,0,0.31,0.1,0.41,0.31,0.41,Matches
11,Wayne Andrews,eng ENG,FW,Crystal Palace,26,1977,9,0,124,1.4,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
12,Nicolas Anelka,fr FRA,FW,Manchester City,25,1979,19,18,"1,510",16.8,7,2,9,5,2,2,0,0,0.42,0.12,0.54,0.3,0.42,Matches
13,José Antonio Reyes,es ESP,MF,Arsenal,20,1983,30,25,"2,025",22.5,9,10,19,9,0,0,3,0,0.4,0.44,0.84,0.4,0.84,Matches
14,John Arne Riise,no NOR,"DF,MF",Liverpool,23,1980,37,34,"2,984",33.2,6,7,13,6,0,0,2,0,0.18,0.21,0.39,0.18,0.39,Matches
15,Mikel Arteta,es ESP,MF,Everton,22,1982,12,10,810,9,1,3,4,1,0,0,5,0,0.11,0.33,0.44,0.11,0.44,Matches
16,Jamie Ashdown,eng ENG,GK,Portsmouth,23,1980,16,16,"1,440",16,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
17,Dean Ashton,eng ENG,FW,Norwich City,20,1983,16,16,"1,421",15.8,7,3,10,6,1,1,0,0,0.44,0.19,0.63,0.38,0.57,Matches
18,Timothée Atouba,cm CMR,DF,Tottenham,22,1982,18,15,"1,397",15.5,1,0,1,1,0,0,1,0,0.06,0,0.06,0.06,0.06,Matches
19,Celestine Babayaro,ng NGA,"DF,MF",Newcastle Utd,25,1978,7,7,626,7,0,1,1,0,0,0,1,0,0,0.14,0.14,0,0.14,Matches
20,Celestine Babayaro,ng NGA,"DF,MF",Chelsea,25,1978,4,3,292,3.2,0,1,1,0,0,0,1,0,0,0.31,0.31,0,0.31,Matches
21,Anthony Barness,eng ENG,DF,Bolton,31,1973,8,5,429,4.8,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
22,Milan Baroš,cz CZE,FW,Liverpool,22,1981,26,22,"1,866",20.7,9,1,10,7,2,3,4,1,0.43,0.05,0.48,0.34,0.39,Matches
23,Gareth Barry,eng ENG,MF,Aston Villa,23,1981,34,33,"2,837",31.5,7,1,8,4,3,3,2,0,0.22,0.03,0.25,0.13,0.16,Matches
24,Shaun Bartlett,za RSA,FW,Charlton Ath,31,1972,25,25,"2,050",22.8,6,3,9,6,0,0,0,2,0.26,0.13,0.4,0.26,0.4,Matches
25,Joey Barton,eng ENG,MF,Manchester City,21,1982,31,28,"2,502",27.8,1,5,6,1,0,0,9,0,0.04,0.18,0.22,0.04,0.22,Matches
26,Matthew Bates,eng ENG,DF,Middlesbrough,17,1986,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
27,James Beattie,eng ENG,FW,Southampton,26,1978,11,11,808,9,3,1,4,2,1,1,0,0,0.33,0.11,0.45,0.22,0.33,Matches
28,James Beattie,eng ENG,FW,Everton,26,1978,11,7,567,6.3,1,0,1,1,0,1,1,1,0.16,0,0.16,0.16,0.16,Matches
29,Craig Bellamy,wls WAL,FW,Newcastle Utd,25,1979,21,21,"1,788",19.9,7,4,11,7,0,0,2,0,0.35,0.2,0.55,0.35,0.55,Matches
30,David Bellion,fr FRA,FW,Manchester Utd,21,1982,10,1,208,2.3,2,0,2,2,0,0,0,0,0.87,0,0.87,0.87,0.87,Matches
31,Tal Ben Haim,il ISR,DF,Bolton,22,1982,21,19,"1,751",19.5,1,0,1,1,0,0,5,0,0.05,0,0.05,0.05,0.05,Matches
32,Marcus Bent,eng ENG,FW,Everton,26,1978,37,31,"2,676",29.7,6,4,10,6,0,0,2,0,0.2,0.13,0.34,0.2,0.34,Matches
33,David Bentley,eng ENG,MF,Norwich City,19,1984,26,22,"2,005",22.3,2,3,5,2,0,0,6,0,0.09,0.13,0.22,0.09,0.22,Matches
34,Patrik Berger,cz CZE,MF,Portsmouth,30,1973,32,30,"2,506",27.8,3,5,8,3,0,0,0,0,0.11,0.18,0.29,0.11,0.29,Matches
35,Dennis Bergkamp,nl NED,FW,Arsenal,35,1969,29,20,"1,921",21.3,8,12,20,8,0,0,1,0,0.37,0.56,0.94,0.37,0.94,Matches
36,Eyal Berkovic,il ISR,MF,Portsmouth,32,1972,11,6,445,4.9,1,4,5,1,0,0,0,0,0.2,0.81,1.01,0.2,1.01,Matches
37,Olivier Bernard,fr FRA,DF,Southampton,24,1979,13,12,"1,106",12.3,0,1,1,0,0,0,3,0,0,0.08,0.08,0,0.08,Matches
38,Olivier Bernard,fr FRA,DF,Newcastle Utd,24,1979,21,19,"1,675",18.6,0,2,2,0,0,0,4,0,0,0.11,0.11,0,0.11,Matches
39,Mathieu Berson,fr FRA,MF,Aston Villa,24,1980,11,7,630,7,0,0,0,0,0,0,2,0,0,0,0,0,0,Matches
40,Leon Best,ie IRL,FW,Southampton,17,1986,2,1,78,0.9,0,0,0,0,0,,0,0,0,0,0,0,0,Matches
41,Igor Bišćan,hr CRO,"DF,MF",Liverpool,26,1978,19,8,728,8.1,2,0,2,2,0,0,0,0,0.25,0,0.25,0.25,0.25,Matches
42,Dexter Blackstock,ag ATG,FW,Southampton,18,1986,9,8,680,7.6,1,0,1,1,0,0,1,0,0.13,0,0.13,0.13,0.13,Matches
43,Robbie Blake,eng ENG,"FW,MF",Birmingham City,28,1976,11,2,335,3.7,2,0,2,1,1,1,0,0,0.54,0,0.54,0.27,0.27,Matches
44,Alan Blayney,nir NIR,GK,Southampton,22,1981,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
