Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
1,Max Aarons,eng ENG,DF,Norwich City,21,2000,34,32,"2,881",32,0,2,2,0,0,0,8,0,0.8,0.8,1.7,2.5,78,117,85,0,0.06,0.06,0,0.06,0.03,0.05,0.08,0.03,0.08,Matches
2,Che Adams,sct SCO,FW,Southampton,25,1996,30,23,"2,039",22.7,7,3,10,7,0,0,0,0,7.1,7.1,3,10.1,19,33,153,0.31,0.13,0.44,0.31,0.44,0.31,0.13,0.45,0.31,0.45,Matches
3,Rayan Aït-Nouri,dz ALG,"DF,MF",Wolves,20,2001,23,20,"1,828",20.3,1,2,3,1,0,0,4,0,0.6,0.6,1.6,2.2,60,49,127,0.05,0.1,0.15,0.05,0.15,0.03,0.08,0.11,0.03,0.11,Matches
4,Kristoffer Ajer,no NOR,DF,Brentford,23,1998,24,23,"1,995",22.2,1,3,4,1,0,0,5,0,0.8,0.8,1.7,2.5,30,82,29,0.05,0.14,0.18,0.05,0.18,0.04,0.08,0.11,0.04,0.11,Matches
5,Nathan Aké,nl NED,DF,Manchester City,26,1995,14,10,923,10.3,2,0,2,2,0,0,0,0,0.7,0.7,0.6,1.2,12,57,8,0.2,0,0.2,0.2,0.2,0.07,0.06,0.12,0.07,0.12,Matches
6,Marc Albrighton,eng ENG,"FW,DF",Leicester City,31,1989,17,11,"1,132",12.6,1,2,3,1,0,0,3,0,0.5,0.5,2,2.5,21,26,56,0.08,0.16,0.24,0.08,0.24,0.04,0.16,0.2,0.04,0.2,Matches
7,Thiago Alcántara,es ESP,MF,Liverpool,30,1991,25,17,"1,534",17,1,4,5,1,0,0,2,0,1.9,1.9,2.3,4.2,24,214,45,0.06,0.23,0.29,0.06,0.29,0.11,0.14,0.25,0.11,0.25,Matches
8,Trent Alexander-Arnold,eng ENG,DF,Liverpool,22,1998,32,32,"2,853",31.7,2,12,14,2,0,0,2,0,2.4,2.4,12,14.4,53,267,201,0.06,0.38,0.44,0.06,0.44,0.07,0.38,0.46,0.07,0.46,Matches
9,Alisson,br BRA,GK,Liverpool,28,1992,36,36,"3,240",36,0,1,1,0,0,0,0,0,0,0,0.2,0.2,0,1,0,0,0.03,0.03,0,0.03,0,0.01,0.01,0,0.01,Matches
10,Allan,br BRA,MF,Everton,30,1991,28,25,"2,183",24.3,0,2,2,0,0,0,7,1,0.2,0.2,0.8,1.1,26,130,18,0,0.08,0.08,0,0.08,0.01,0.03,0.04,0.01,0.04,Matches
11,Dele Alli,eng ENG,MF,Tottenham,25,1996,10,8,657,7.3,1,0,1,0,1,1,1,0,1.6,0.8,0.3,1.1,8,18,22,0.14,0,0.14,0,0,0.22,0.04,0.26,0.11,0.15,Matches
12,Dele Alli,eng ENG,"MF,FW",Everton,25,1996,11,1,338,3.8,0,0,0,0,0,0,3,0,0.1,0.1,0.4,0.5,7,13,21,0,0,0,0,0,0.03,0.09,0.12,0.03,0.12,Matches
13,Miguel Almirón,py PAR,"MF,FW",Newcastle Utd,27,1994,30,19,"1,716",19.1,1,0,1,1,0,0,2,0,1.7,1.7,0.9,2.6,44,46,85,0.05,0,0.05,0.05,0.05,0.09,0.05,0.14,0.09,0.14,Matches
14,Marcos Alonso,es ESP,DF,Chelsea,30,1990,28,25,"2,167",24.1,4,4,8,4,0,0,8,0,2.8,2.8,4.5,7.3,51,93,192,0.17,0.17,0.33,0.17,0.33,0.12,0.19,0.3,0.12,0.3,Matches
15,Steven Alzate,co COL,MF,Brighton,22,1998,9,5,404,4.5,0,0,0,0,0,0,0,0,0.1,0.1,0.2,0.2,3,21,6,0,0,0,0,0,0.02,0.03,0.05,0.02,0.05,Matches
16,Daniel Amartey,gh GHA,DF,Leicester City,26,1994,28,23,"2,123",23.6,0,0,0,0,0,0,4,0,0,0,0.2,0.2,14,62,0,0,0,0,0,0,0,0.01,0.01,0,0.01,Matches
17,Joachim Andersen,dk DEN,DF,Crystal Palace,25,1996,34,32,"2,916",32.4,0,3,3,0,0,0,4,0,0.7,0.7,1.7,2.4,14,100,4,0,0.09,0.09,0,0.09,0.02,0.05,0.07,0.02,0.07,Matches
18,Michail Antonio,jm JAM,FW,West Ham,31,1990,36,34,"2,971",33,10,8,18,10,0,1,8,1,10.8,10.2,6,16.2,77,46,246,0.3,0.24,0.55,0.3,0.55,0.33,0.18,0.51,0.31,0.49,Matches
19,Cameron Archer,eng ENG,"FW,MF",Aston Villa,20,2001,3,0,27,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.15,0,0.15,0.15,0.15,Matches
20,Alphonse Areola,fr FRA,GK,West Ham,28,1993,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
21,Adam Armstrong,eng ENG,FW,Southampton,24,1997,23,17,"1,413",15.7,2,2,4,2,0,0,1,0,4.5,4.5,1.6,6.2,39,30,105,0.13,0.13,0.25,0.13,0.25,0.29,0.1,0.39,0.29,0.39,Matches
22,Stuart Armstrong,sct SCO,MF,Southampton,29,1992,25,15,"1,473",16.4,2,0,2,2,0,0,1,0,2.5,2.5,1.5,4,63,83,78,0.12,0,0.12,0.12,0.12,0.15,0.09,0.24,0.15,0.24,Matches
23,Kepa Arrizabalaga,es ESP,GK,Chelsea,26,1994,4,4,360,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
24,Harrison Ashby,sct SCO,DF,West Ham,19,2001,1,0,7,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
25,Pierre-Emerick Aubameyang,ga GAB,FW,Arsenal,32,1989,14,12,"1,037",11.5,4,1,5,4,0,2,3,0,5.9,4.2,1,5.2,21,26,47,0.35,0.09,0.43,0.35,0.43,0.51,0.09,0.6,0.36,0.45,Matches
26,Jordan Ayew,gh GHA,FW,Crystal Palace,29,1991,31,23,"2,019",22.4,3,3,6,3,0,0,2,0,3.1,3.1,2.8,5.9,98,51,151,0.13,0.13,0.27,0.13,0.27,0.14,0.12,0.26,0.14,0.26,Matches
27,Luke Ayling,eng ENG,DF,Leeds United,29,1991,26,26,"2,272",25.2,2,2,4,2,0,0,4,1,1.2,1.2,1.8,3.1,45,135,51,0.08,0.08,0.16,0.08,0.16,0.05,0.07,0.12,0.05,0.12,Matches
28,César Azpilicueta,es ESP,DF,Chelsea,31,1989,27,24,"2,070",23,1,2,3,1,0,0,3,0,0.9,0.9,1.8,2.6,49,138,132,0.04,0.09,0.13,0.04,0.13,0.04,0.08,0.11,0.04,0.11,Matches
29,Daniel Bachmann,at AUT,GK,Watford,27,1994,12,12,"1,080",12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
30,Leon Bailey,jm JAM,"FW,MF",Aston Villa,23,1997,18,7,761,8.5,1,2,3,1,0,0,3,0,1.5,1.5,0.8,2.3,34,24,61,0.12,0.24,0.35,0.12,0.35,0.18,0.09,0.27,0.18,0.27,Matches
31,Eric Bailly,ci CIV,DF,Manchester Utd,27,1994,4,3,217,2.4,0,0,0,0,0,0,1,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,Matches
32,Folarin Balogun,us USA,FW,Arsenal,20,2001,2,1,70,0.8,0,0,0,0,0,0,0,0,0.2,0.2,0,0.2,0,0,4,0,0,0,0,0,0.29,0,0.29,0.29,0.29,Matches
33,Patrick Bamford,eng ENG,FW,Leeds United,27,1993,9,7,559,6.2,2,2,4,2,0,0,2,0,3,3,1.1,4,8,12,24,0.32,0.32,0.64,0.32,0.64,0.48,0.17,0.65,0.48,0.65,Matches
34,Shandon Baptiste,gd GRN,MF,Brentford,23,1998,22,9,910,10.1,1,0,1,1,0,0,2,1,0.7,0.7,0.5,1.3,14,35,29,0.1,0,0.1,0.1,0.1,0.07,0.05,0.12,0.07,0.12,Matches
35,Ross Barkley,eng ENG,"MF,FW",Chelsea,27,1993,6,1,179,2,1,0,1,1,0,0,0,0,1,1,0.5,1.5,14,14,17,0.5,0,0.5,0.5,0.5,0.49,0.24,0.73,0.49,0.73,Matches
36,Ashley Barnes,eng ENG,FW,Burnley,31,1989,23,8,808,9,1,0,1,0,1,1,4,0,2.1,1.4,0.9,2.2,5,17,47,0.11,0,0.11,0,0,0.24,0.1,0.33,0.15,0.25,Matches
37,Harvey Barnes,eng ENG,"FW,MF",Leicester City,23,1997,32,24,"2,101",23.3,6,10,16,6,0,0,2,0,5.6,5.6,4.6,10.2,107,59,237,0.26,0.43,0.69,0.26,0.69,0.24,0.2,0.44,0.24,0.44,Matches
38,Lewis Bate,eng ENG,MF,Leeds United,18,2002,3,1,146,1.6,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,0,0,0,0,0.01,0,0.01,0.01,0.01,Matches
39,Mads Bech Sørensen,dk DEN,DF,Brentford,22,1999,11,9,835,9.3,0,0,0,0,0,0,3,0,0.1,0.1,0.4,0.4,9,20,4,0,0,0,0,0,0.01,0.04,0.05,0.01,0.05,Matches
40,Jan Bednarek,pl POL,DF,Southampton,25,1996,31,30,"2,629",29.2,4,0,4,4,0,0,10,0,2.2,2.2,0.4,2.6,0,61,5,0.14,0,0.14,0.14,0.14,0.08,0.01,0.09,0.08,0.09,Matches
41,Donny van de Beek,nl NED,MF,Manchester Utd,24,1997,8,0,75,0.8,1,0,1,1,0,0,0,0,0.5,0.5,0.4,0.9,0,4,4,1.2,0,1.2,1.2,1.2,0.57,0.47,1.04,0.57,1.04,Matches
42,Donny van de Beek,nl NED,MF,Everton,24,1997,7,5,483,5.4,1,0,1,1,0,0,1,0,1.1,1.1,0.1,1.1,3,20,10,0.19,0,0.19,0.19,0.19,0.2,0.01,0.21,0.2,0.21,Matches
43,Asmir Begović,ba BIH,GK,Everton,34,1987,3,3,270,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
44,Saïd Benrahma,dz ALG,"FW,MF",West Ham,25,1995,32,26,"2,168",24.1,8,6,14,8,0,0,0,0,4.8,4.8,3.7,8.5,73,73,222,0.33,0.25,0.58,0.33,0.58,0.2,0.15,0.35,0.2,0.35,Matches
45,Rodrigo Bentancur,uy URU,MF,Tottenham,24,1997,17,16,"1,361",15.1,0,4,4,0,0,0,5,0,0.8,0.8,2.6,3.4,20,76,11,0,0.26,0.26,0,0.26,0.05,0.17,0.23,0.05,0.23,Matches
46,Christian Benteke,be BEL,FW,Crystal Palace,30,1990,25,11,"1,145",12.7,4,1,5,4,0,0,3,0,4.9,4.9,1.3,6.2,15,24,79,0.31,0.08,0.39,0.31,0.39,0.38,0.1,0.49,0.38,0.49,Matches
47,Jóhann Berg Guðmundsson,is ISL,MF,Burnley,30,1990,18,13,"1,102",12.2,0,1,1,0,0,0,2,0,1.6,1.6,0.5,2,27,16,75,0,0.08,0.08,0,0.08,0.13,0.04,0.17,0.13,0.17,Matches
48,Steven Bergwijn,nl NED,"FW,MF",Tottenham,23,1997,25,4,565,6.3,3,1,4,3,0,0,1,0,2.5,2.5,0.9,3.5,26,17,53,0.48,0.16,0.64,0.48,0.64,0.4,0.15,0.55,0.4,0.55,Matches
49,Ryan Bertrand,eng ENG,DF,Leicester City,31,1989,4,4,337,3.7,0,0,0,0,0,0,1,0,0,0,0,0,2,17,8,0,0,0,0,0,0,0,0,0,0,Matches
50,Mads Bidstrup,dk DEN,MF,Brentford,20,2001,4,0,41,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
51,Yves Bissouma,ml MLI,MF,Brighton,24,1996,26,25,"2,111",23.5,1,2,3,1,0,0,10,0,0.9,0.9,0.8,1.7,40,92,16,0.04,0.09,0.13,0.04,0.13,0.04,0.03,0.07,0.04,0.07,Matches
52,Willy Boly,ci CIV,DF,Wolves,30,1991,10,10,900,10,0,0,0,0,0,0,1,0,0.2,0.2,0.1,0.2,6,20,0,0,0,0,0,0,0.02,0.01,0.02,0.02,0.02,Matches
53,Jarrod Bowen,eng ENG,FW,West Ham,24,1996,36,34,"2,983",33.1,12,10,22,12,0,0,6,0,11.9,11.9,6.1,18,74,66,204,0.36,0.3,0.66,0.36,0.66,0.36,0.18,0.54,0.36,0.54,Matches
54,Jarrad Branthwaite,eng ENG,DF,Everton,19,2002,6,4,388,4.3,1,0,1,1,0,0,0,1,0.5,0.5,0,0.5,1,12,0,0.23,0,0.23,0.23,0.23,0.12,0,0.12,0.12,0.12,Matches
55,Armando Broja,al ALB,FW,Southampton,19,2001,32,21,"1,975",21.9,6,0,6,6,0,0,2,0,5.9,5.9,1,6.9,56,29,114,0.27,0,0.27,0.27,0.27,0.27,0.05,0.32,0.27,0.32,Matches
56,Josh Brownhill,eng ENG,MF,Burnley,25,1995,35,32,"2,955",32.8,2,3,5,2,0,0,10,0,1.4,1.4,2.6,3.9,18,106,37,0.06,0.09,0.15,0.06,0.15,0.04,0.08,0.12,0.04,0.12,Matches
57,Lewis Brunt,eng ENG,MF,Leicester City,20,2000,1,0,24,0.3,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,0,0,0,0,0,0,0,0,0,0,Matches
58,Emi Buendía,ar ARG,"MF,FW",Aston Villa,24,1996,35,22,"1,899",21.1,4,6,10,4,0,0,1,0,3.4,3.4,5.8,9.1,40,117,84,0.19,0.28,0.47,0.19,0.47,0.16,0.27,0.43,0.16,0.43,Matches
59,Dan Burn,eng ENG,DF,Newcastle Utd,29,1992,16,16,"1,440",16,0,1,1,0,0,0,4,0,0.7,0.7,0.4,1.1,6,31,2,0,0.06,0.06,0,0.06,0.04,0.03,0.07,0.04,0.07,Matches
60,Dan Burn,eng ENG,DF,Brighton,29,1992,13,12,"1,022",11.4,1,0,1,1,0,0,4,0,1.6,1.5,0.5,2,9,50,3,0.09,0,0.09,0.09,0.09,0.14,0.04,0.18,0.13,0.17,Matches
61,Jack Butland,eng ENG,GK,Crystal Palace,28,1993,9,8,765,8.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
62,Sam Byram,eng ENG,DF,Norwich City,27,1993,15,11,"1,027",11.4,0,0,0,0,0,0,3,0,0.6,0.6,0.2,0.9,11,23,16,0,0,0,0,0,0.06,0.02,0.08,0.06,0.08,Matches
63,Willy Caballero,ar ARG,GK,Southampton,39,1981,2,2,180,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
64,Moisés Caicedo,ec ECU,MF,Brighton,19,2001,8,8,660,7.3,1,1,2,1,0,0,2,0,0.8,0.8,0.3,1.1,9,22,8,0.14,0.14,0.27,0.14,0.27,0.11,0.04,0.16,0.11,0.16,Matches
65,Dominic Calvert-Lewin,eng ENG,FW,Everton,24,1997,17,15,"1,283",14.3,5,2,7,3,2,3,2,0,6.5,4.2,1.6,5.7,9,17,50,0.35,0.14,0.49,0.21,0.35,0.46,0.11,0.57,0.29,0.4,Matches
66,Chem Campbell,wls WAL,MF,Wolves,18,2002,1,0,13,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,Matches
67,João Cancelo,pt POR,DF,Manchester City,27,1994,36,36,"3,227",35.9,1,7,8,1,0,0,7,0,4,4,5.4,9.3,125,357,270,0.03,0.2,0.22,0.03,0.22,0.11,0.15,0.26,0.11,0.26,Matches
68,Sergi Canós,es ESP,"DF,FW",Brentford,24,1997,31,25,"2,083",23.1,3,2,5,3,0,0,8,1,3,3,1.7,4.6,52,59,100,0.13,0.09,0.22,0.13,0.22,0.13,0.07,0.2,0.13,0.2,Matches
69,Todd Cantwell,eng ENG,"FW,MF",Norwich City,23,1998,8,5,441,4.9,0,0,0,0,0,0,2,0,0.1,0.1,0.1,0.3,2,10,17,0,0,0,0,0,0.03,0.03,0.06,0.03,0.06,Matches
70,Matty Cash,pl POL,DF,Aston Villa,23,1997,38,38,"3,377",37.5,4,3,7,4,0,0,8,0,2.7,2.7,2.8,5.4,89,96,174,0.11,0.08,0.19,0.11,0.19,0.07,0.07,0.14,0.07,0.14,Matches
71,Timothy Castagne,be BEL,DF,Leicester City,25,1995,27,22,"2,127",23.6,1,0,1,1,0,0,1,0,0.7,0.7,1.5,2.2,32,72,115,0.04,0,0.04,0.04,0.04,0.03,0.06,0.09,0.03,0.09,Matches
72,Jonny Castro,es ESP,DF,Wolves,27,1994,13,10,"1,024",11.4,2,0,2,2,0,0,1,0,1,1,1.3,2.3,25,35,56,0.18,0,0.18,0.18,0.18,0.09,0.12,0.21,0.09,0.21,Matches
73,Craig Cathcart,nir NIR,DF,Watford,32,1989,31,27,"2,396",26.6,0,1,1,0,0,0,3,0,0.2,0.2,1.2,1.4,6,52,0,0,0.04,0.04,0,0.04,0.01,0.05,0.05,0.01,0.05,Matches
74,Edinson Cavani,uy URU,FW,Manchester Utd,34,1987,15,7,766,8.5,2,1,3,2,0,0,0,0,3.4,3.4,1.2,4.7,2,9,32,0.23,0.12,0.35,0.23,0.35,0.4,0.14,0.55,0.4,0.55,Matches
75,Kayky Chagas,br BRA,FW,Manchester City,18,2003,1,0,7,0.1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,Matches
76,Trevoh Chalobah,eng ENG,DF,Chelsea,22,1999,20,17,"1,449",16.1,3,1,4,3,0,0,2,0,1.1,1.1,0.3,1.4,24,88,14,0.19,0.06,0.25,0.19,0.25,0.07,0.02,0.09,0.07,0.09,Matches
77,Calum Chambers,eng ENG,DF,Arsenal,26,1995,2,2,170,1.9,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,0,7,5,0,0,0,0,0,0.04,0.05,0.08,0.04,0.08,Matches
78,Calum Chambers,eng ENG,DF,Aston Villa,26,1995,11,9,831,9.2,1,0,1,1,0,0,1,0,0.2,0.2,0.1,0.3,3,31,1,0.11,0,0.11,0.11,0.11,0.02,0.01,0.03,0.02,0.03,Matches
79,Daniel Chesters,eng ENG,MF,West Ham,19,2002,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
80,Ben Chilwell,eng ENG,DF,Chelsea,24,1996,7,6,542,6,3,1,4,3,0,0,0,0,0.9,0.9,0.8,1.7,14,18,46,0.5,0.17,0.66,0.5,0.66,0.15,0.13,0.28,0.15,0.28,Matches
81,Chiquinho,pt POR,"DF,FW",Wolves,21,2000,8,1,208,2.3,0,3,3,0,0,0,0,0,0.6,0.6,0.7,1.3,10,7,35,0,1.3,1.3,0,1.3,0.26,0.3,0.56,0.26,0.56,Matches
82,Hamza Choudhury,eng ENG,"DF,MF",Leicester City,23,1997,6,4,285,3.2,0,0,0,0,0,0,1,0,0,0,0,0,0,5,1,0,0,0,0,0,0.01,0,0.01,0.01,0.01,Matches
83,Andreas Christensen,dk DEN,DF,Chelsea,25,1996,19,17,"1,496",16.6,0,0,0,0,0,0,2,0,0.6,0.6,0.2,0.8,14,81,5,0,0,0,0,0,0.04,0.01,0.05,0.04,0.05,Matches
84,Carney Chukwuemeka,eng ENG,"MF,FW",Aston Villa,17,2003,12,2,301,3.3,0,1,1,0,0,0,0,0,0.6,0.6,1,1.6,9,7,14,0,0.3,0.3,0,0.3,0.19,0.28,0.47,0.19,0.47,Matches
85,Ciaran Clark,ie IRL,DF,Newcastle Utd,31,1989,13,12,"1,014",11.3,0,1,1,0,0,0,2,1,1.1,1.1,0.3,1.4,2,17,6,0,0.09,0.09,0,0.09,0.1,0.03,0.12,0.1,0.12,Matches
86,Tom Cleverley,eng ENG,MF,Watford,31,1989,28,20,"1,616",18,0,2,2,0,0,0,2,0,0.7,0.7,2.1,2.8,8,64,40,0,0.11,0.11,0,0.11,0.04,0.12,0.15,0.04,0.15,Matches
87,Nathaniel Clyne,eng ENG,DF,Crystal Palace,30,1991,16,15,"1,351",15,0,1,1,0,0,0,1,0,0.1,0.1,0.4,0.5,14,36,25,0,0.07,0.07,0,0.07,0.01,0.03,0.04,0.01,0.04,Matches
88,Conor Coady,eng ENG,DF,Wolves,28,1993,38,38,"3,361",37.3,4,0,4,4,0,0,4,0,2.8,2.8,0.1,2.8,6,35,3,0.11,0,0.11,0.11,0.11,0.07,0,0.08,0.07,0.08,Matches
89,Séamus Coleman,ie IRL,DF,Everton,32,1988,30,30,"2,656",29.5,1,0,1,1,0,0,4,0,1.2,1.2,0.8,2,40,96,77,0.03,0,0.03,0.03,0.03,0.04,0.03,0.07,0.04,0.07,Matches
90,Nathan Collins,ie IRL,DF,Burnley,20,2001,19,18,"1,670",18.6,2,0,2,2,0,0,2,1,1.5,1.5,1.5,3,7,44,8,0.11,0,0.11,0.11,0.11,0.08,0.08,0.16,0.08,0.16,Matches
91,Aaron Connolly,ie IRL,"FW,MF",Brighton,21,2000,4,1,156,1.7,0,0,0,0,0,0,0,0,0.4,0.4,0.1,0.5,3,1,7,0,0,0,0,0,0.21,0.06,0.26,0.21,0.26,Matches
92,Liam Cooper,sct SCO,DF,Leeds United,29,1991,21,21,"1,814",20.2,0,1,1,0,0,0,5,0,0.4,0.4,0.1,0.5,7,46,2,0,0.05,0.05,0,0.05,0.02,0.01,0.02,0.02,0.02,Matches
93,Jack Cork,eng ENG,MF,Burnley,32,1989,20,20,"1,670",18.6,1,0,1,1,0,0,4,0,0.7,0.7,0.3,1,12,46,12,0.05,0,0.05,0.05,0.05,0.04,0.02,0.05,0.04,0.05,Matches
94,Maxwel Cornet,ci CIV,"FW,MF",Burnley,24,1996,26,21,"1,766",19.6,9,1,10,9,0,1,2,0,6.7,5.9,1.7,7.7,28,30,125,0.46,0.05,0.51,0.46,0.51,0.34,0.09,0.43,0.3,0.39,Matches
95,Hélder Costa,ao ANG,MF,Leeds United,27,1994,1,0,22,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0.03,0,0.03,0.03,0.03,Matches
96,Vladimír Coufal,cz CZE,DF,West Ham,28,1992,28,25,"2,209",24.5,0,4,4,0,0,0,5,1,0.8,0.8,2.1,2.9,51,113,119,0,0.16,0.16,0,0.16,0.03,0.08,0.12,0.03,0.12,Matches
97,Philippe Coutinho,br BRA,"MF,FW",Aston Villa,29,1992,19,16,"1,329",14.8,5,3,8,5,0,0,0,0,3.8,3.8,2.9,6.7,48,94,62,0.34,0.2,0.54,0.34,0.54,0.25,0.2,0.45,0.25,0.45,Matches
98,Aaron Cresswell,eng ENG,DF,West Ham,31,1989,31,31,"2,726",30.3,2,3,5,2,0,0,3,0,1.1,1.1,3.2,4.2,54,186,99,0.07,0.1,0.17,0.07,0.17,0.04,0.1,0.14,0.04,0.14,Matches
99,Charlie Cresswell,eng ENG,DF,Leeds United,18,2002,5,1,141,1.6,0,0,0,0,0,0,1,0,0.1,0.1,0,0.1,1,4,0,0,0,0,0,0,0.05,0,0.05,0.05,0.05,Matches
100,Cucho,co COL,"FW,MF",Watford,22,1999,25,11,"1,147",12.7,5,2,7,5,0,0,3,0,2.5,2.5,1.9,4.3,22,39,85,0.39,0.16,0.55,0.39,0.55,0.19,0.15,0.34,0.19,0.34,Matches
101,Marc Cucurella,es ESP,DF,Brighton,23,1998,35,35,"3,089",34.3,1,1,2,1,0,0,6,0,0.7,0.7,2.7,3.4,104,191,208,0.03,0.03,0.06,0.03,0.06,0.02,0.08,0.1,0.02,0.1,Matches
102,Luke Cundle,eng ENG,MF,Wolves,19,2002,4,2,180,2,0,0,0,0,0,0,0,0,0,0,0.2,0.2,3,9,3,0,0,0,0,0,0,0.12,0.12,0,0.12,Matches
103,Patson Daka,zm ZAM,FW,Leicester City,22,1998,23,13,"1,159",12.9,5,3,8,5,0,0,2,0,4.2,4.2,2,6.1,10,17,66,0.39,0.23,0.62,0.39,0.62,0.32,0.15,0.48,0.32,0.48,Matches
104,Stuart Dallas,nir NIR,"DF,MF",Leeds United,30,1991,34,34,"2,919",32.4,1,1,2,1,0,0,5,0,1.9,1.9,2.3,4.1,82,170,79,0.03,0.03,0.06,0.03,0.06,0.06,0.07,0.13,0.06,0.13,Matches
105,Diogo Dalot,pt POR,DF,Manchester Utd,22,1999,24,19,"1,801",20,0,0,0,0,0,0,4,0,0.6,0.6,1.2,1.7,53,105,75,0,0,0,0,0,0.03,0.06,0.09,0.03,0.09,Matches
106,Karl Darlow,eng ENG,GK,Newcastle Utd,30,1990,8,8,720,8,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
107,Josh Dasilva,eng ENG,"MF,FW",Brentford,22,1998,9,2,257,2.9,0,0,0,0,0,0,0,1,0.1,0.1,0.1,0.2,10,11,10,0,0,0,0,0,0.03,0.05,0.08,0.03,0.08,Matches
108,Ben Davies,wls WAL,DF,Tottenham,28,1993,29,28,"2,538",28.2,1,1,2,1,0,0,6,0,2.3,2.3,0.5,2.9,62,137,60,0.04,0.04,0.07,0.04,0.07,0.08,0.02,0.1,0.08,0.1,Matches
109,Tom Davies,eng ENG,MF,Everton,23,1998,6,2,234,2.6,1,0,1,1,0,0,1,0,0.8,0.8,0,0.8,1,7,3,0.38,0,0.38,0.38,0.38,0.32,0,0.32,0.32,0.32,Matches
110,Keinan Davis,eng ENG,FW,Aston Villa,23,1998,1,0,12,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Matches
111,Craig Dawson,eng ENG,DF,West Ham,31,1990,34,30,"2,754",30.6,2,2,4,2,0,0,5,1,3,3,1,4,4,54,3,0.07,0.07,0.13,0.07,0.13,0.1,0.03,0.13,0.1,0.13,Matches
112,Kevin De Bruyne,be BEL,MF,Manchester City,30,1991,30,25,"2,201",24.5,15,8,23,15,0,0,2,0,5.7,5.7,10.4,16.1,84,204,175,0.61,0.33,0.94,0.61,0.94,0.23,0.42,0.66,0.23,0.66,Matches
113,Troy Deeney,eng ENG,FW,Watford,33,1988,2,0,25,0.3,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0,1,5,0,0,0,0,0,0.28,0.25,0.54,0.28,0.54,Matches
114,Liam Delap,eng ENG,FW,Manchester City,18,2003,1,0,10,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Matches
115,Fabian Delph,eng ENG,MF,Everton,31,1989,11,8,662,7.4,0,0,0,0,0,0,2,0,0,0,0.1,0.1,2,34,3,0,0,0,0,0,0,0.01,0.01,0,0.01,Matches
116,Leander Dendoncker,be BEL,MF,Wolves,26,1995,30,21,"1,950",21.7,2,2,4,2,0,0,4,0,2.2,2.2,1.1,3.3,9,64,45,0.09,0.09,0.18,0.09,0.18,0.1,0.05,0.15,0.1,0.15,Matches
117,Emmanuel Dennis,ng NGA,"FW,MF",Watford,23,1997,33,30,"2,581",28.7,10,6,16,10,0,0,9,1,7.3,7.3,4.1,11.3,90,61,172,0.35,0.21,0.56,0.35,0.56,0.26,0.14,0.4,0.25,0.4,Matches
118,Kiernan Dewsbury-Hall,eng ENG,MF,Leicester City,22,1998,28,23,"2,105",23.4,1,2,3,1,0,0,4,0,1.2,1.2,2.7,3.9,82,132,98,0.04,0.09,0.13,0.04,0.13,0.05,0.12,0.17,0.05,0.17,Matches
